fp1x,fp1y,fp1z,fp2x,fp2y,fp2z,fsr15.1,fsr15.2,fsr15.3,fsr15.4,fsr16.1,fsr16.2,fsr16.3,fsr16.4
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
0,0,0,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
